delta ch(1),theta ch(1),alpha ch(1),beta ch(1),gamma ch(1),delta ch(2),theta ch(2),alpha ch(2),beta ch(2),gamma ch(2),delta ch(3),theta ch(3),alpha ch(3),beta ch(3),gamma ch(3),delta ch(4),theta ch(4),alpha ch(4),beta ch(4),gamma ch(4),delta ch(5),theta ch(5),alpha ch(5),beta ch(5),gamma ch(5),delta ch(6),theta ch(6),alpha ch(6),beta ch(6),gamma ch(6),delta ch(7),theta ch(7),alpha ch(7),beta ch(7),gamma ch(7),delta ch(8),theta ch(8),alpha ch(8),beta ch(8),gamma ch(8),delta ch(9),theta ch(9),alpha ch(9),beta ch(9),gamma ch(9),delta ch(10),theta ch(10),alpha ch(10),beta ch(10),gamma ch(10),delta ch(11),theta ch(11),alpha ch(11),beta ch(11),gamma ch(11),delta ch(12),theta ch(12),alpha ch(12),beta ch(12),gamma ch(12),delta ch(13),theta ch(13),alpha ch(13),beta ch(13),gamma ch(13),delta ch(14),theta ch(14),alpha ch(14),beta ch(14),gamma ch(14),state
101.7790122,20.7095052,35.14530287,45.62858829,23.1129652,87.20192947,12.10301119,20.5674467,43.95442489,11.27923637,120.7588309,27.2467043,22.61432213,59.09724745,22.13040132,89.0310529,14.87754086,18.74584875,51.78448118,11.92583943,173.2967109,11.24243781,11.01071909,69.05383052,28.27400145,105.2359416,11.68408124,13.81798878,24.24838127,16.01358847,118.7083951,13.44052444,20.81114083,37.58569171,19.70014591,137.4814838,16.25619686,38.66690061,58.29328885,23.25704781,94.314752,18.3836265,28.17874393,50.31794559,26.07639098,240.8939843,35.27476906,44.63401855,83.94121386,40.07359433,90.69277119,28.30563058,35.33703179,102.4899898,16.42480559,110.1531427,32.35170278,37.76375238,69.79892579,10.14467336,94.72065443,25.4633165,36.65799269,69.36938166,15.42801656,77.13470538,20.45232769,37.20146631,50.00233188,18.6217318,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
852.6885075,52.88051589,36.58007943,46.83552745,28.87793623,1241.528604,26.28022543,31.94616514,62.0647677,15.26631953,1985.195317,56.3864881,31.13530096,58.01984181,28.50622392,1599.151436,60.1332767,33.24502163,45.40743664,20.02489971,1488.06199,20.70171496,21.69057425,65.3809766,35.81457621,637.7495273,13.53948455,10.53089582,59.39853755,33.55053621,578.9327118,20.46879123,28.65670594,58.72776398,47.69456938,733.2798201,40.13930441,61.96237666,67.74544141,30.84929221,541.3105981,23.62184717,64.22477243,58.03720679,30.99247248,1820.545964,51.78974142,80.41238836,85.9106243,30.81999682,1342.21052,71.16598459,64.33333721,61.1825879,28.81045801,1485.117417,62.13800823,35.4390946,59.51749793,31.6114129,694.8706024,43.96258475,62.39320571,60.11409718,28.00771286,702.1339667,59.53306094,41.08546874,45.09692747,27.94477951,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
568.7408894,55.35571454,44.73528718,46.94871296,26.55341316,734.9970929,46.84174949,40.07820732,62.4264362,15.29070153,984.5981413,81.92423313,53.04540267,64.07031025,26.97925674,666.2817558,64.92758074,45.65387226,70.71500387,19.19981068,1074.812597,33.48264705,19.51667149,88.66131673,40.87554318,603.7034816,20.90824215,30.55063388,34.10004871,30.49615946,650.5876515,31.18654753,26.05548496,41.3565357,35.23912824,937.6886276,71.01390656,55.99745796,62.4892529,18.34505769,468.8860243,40.00972983,36.7259518,53.55161351,18.32553952,1518.05891,84.09848698,70.65875568,88.98729919,39.53131019,674.9008525,84.24482125,107.3310764,82.91433378,18.72352352,394.8923051,137.5580134,68.1951246,68.28948696,18.23176016,506.713001,59.70098488,66.96186762,52.89126097,18.8268652,517.2616394,56.21128792,70.30566878,47.20334557,23.43892678,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
438.5412254,42.26526976,54.27283763,67.4897967,39.12492442,562.6925916,36.45649049,54.63916659,67.5733157,51.62077881,506.7049769,42.52080472,59.0875853,71.4807546,33.55049452,657.0121243,41.56572087,63.4411313,73.2422138,34.50423762,552.2986843,23.44988845,27.70343268,185.8860288,251.6425142,443.7678628,20.20537377,25.04675846,54.5946192,62.71404799,303.3237312,22.61134449,33.44790718,58.71902962,42.29126319,338.8415356,32.95545356,68.54421474,136.749584,32.54297937,306.9845093,19.31445609,57.645341,108.7889632,52.24745966,517.9996865,35.57147031,98.5720674,153.0723284,137.3867345,618.9151843,60.20227777,87.10765077,117.7899845,37.97346412,459.0018459,54.04471087,71.54331314,90.79263636,26.81677788,387.8855007,42.31036691,58.73753857,99.37638092,41.0383025,368.9524978,45.5414541,52.17187543,67.09431161,31.53251833,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
275.4721925,60.90270391,78.09936384,52.55974385,33.22088437,293.4138912,53.32901557,90.63964422,59.22005453,33.27017613,483.2307808,69.74697089,111.8756646,49.09019059,31.13255921,400.4412642,58.38644341,99.61130377,53.54508199,30.1320792,223.3067812,23.41361613,27.18145842,171.8028641,175.75969,131.1651214,12.4472892,50.14141989,33.58559024,36.77072643,179.6788551,12.26517718,96.40578712,45.48081859,40.27887989,322.9121179,37.59933177,91.84124312,68.91662298,34.42949987,203.1140211,50.08001955,80.37926181,82.57134242,37.366158,543.6003087,83.44798447,152.7477662,129.8009134,82.10100905,489.142648,111.868985,144.31742,67.09153157,34.65550871,554.1675817,80.3927998,146.2524669,51.43417717,29.44185566,317.3674936,68.77541564,130.6734828,58.0537551,26.7508196,277.2813235,63.2320883,92.64677385,42.38100824,31.23681587,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
