RANK: 3
OVERALL PERFORMANCE: 43%
EPOCH TIMESTAMP(Every ~1000 ms)      Performance( Scale: 1-5)
1597501852446.0                        1
1597501852602.0                        1
1597501852752.0                        1
1597501852907.0                        1
1597501853056.0                        1
1597501853207.0                        1
1597501853359.0                        1
1597501853509.0                        1
1597501853663.0                        1
1597501853817.0                        1
1597501853967.0                        1
1597501854121.0                        1
1597501854269.0                        1
1597501854421.0                        1
1597501854571.0                        1
1597501854723.0                        2
1597501854871.0                        2
1597501855020.0                        2
1597501855173.0                        3
1597501855326.0                        3
1597501855472.0                        3
1597501855621.0                        3
1597501855768.0                        3
1597501855911.0                        2
1597501856070.0                        2
1597501856255.0                        2
1597501856398.0                        2
1597501856538.0                        2
1597501856689.0                        2
1597501856873.0                        2
1597501857016.0                        2
1597501857200.0                        2
1597501857344.0                        2
1597501857525.0                        2
1597501857673.0                        5
1597501857858.0                        5
1597501858011.0                        5
1597501858201.0                        5
1597501858348.0                        5
1597501858533.0                        5
1597501858686.0                        5
1597501858868.0                        5
1597501859012.0                        5
1597501859200.0                        5
1597501859341.0                        5
1597501859487.0                        5
1597501859642.0                        5
1597501859823.0                        5
1597501859956.0                        5
1597501860090.0                        5
1597501860240.0                        5
1597501860389.0                        5
1597501860573.0                        5
1597501860772.0                        5
1597501860956.0                        5
1597501861102.0                        5
1597501861241.0                        5
1597501861388.0                        5
1597501861531.0                        5
1597501861672.0                        5
1597501861829.0                        5
1597501861979.0                        5
1597501862154.0                        5
1597501862301.0                        5
1597501862444.0                        5
1597501862591.0                        5
1597501862728.0                        5
1597501862877.0                        5
1597501863058.0                        4
1597501863213.0                        4
1597501863387.0                        4
1597501863537.0                        4
1597501863673.0                        4
1597501863822.0                        4
1597501864001.0                        4
1597501864146.0                        3
1597501864324.0                        3
1597501864468.0                        3
1597501864609.0                        3
1597501864753.0                        3
1597501864892.0                        3
1597501865040.0                        3
1597501865217.0                        3
1597501865358.0                        2
1597501865496.0                        2
1597501865633.0                        2
1597501865776.0                        2
1597501865917.0                        2
1597501866054.0                        2
1597501866200.0                        2
1597501866337.0                        2
1597501866482.0                        2
1597501866656.0                        2
1597501866805.0                        1
1597501866980.0                        1
1597501867115.0                        1
1597501867254.0                        1
1597501867391.0                        1
1597501867544.0                        1
1597501867714.0                        1
1597501867850.0                        1
1597501867987.0                        1
1597501868136.0                        1
1597501868270.0                        1
1597501868419.0                        1
1597501868599.0                        1
1597501868740.0                        1
1597501868917.0                        1
1597501869098.0                        1
1597501869273.0                        1
1597501869415.0                        1
1597501869555.0                        1
1597501869737.0                        1
1597501869913.0                        1
1597501870090.0                        1
